"group_id","condition","trial","participant","shared","control","timestamp"
1,"23-1",1,1,0.801273221616516,0.811766280129985,"2024-12-01 17:49:50.9108"
1,"23-1",1,2,0.41204450387614,0.0379043811547555,"2024-12-01 17:50:11.924928"
1,"23-1",1,3,0.504718008100039,1.0191168367932,"2024-12-01 17:52:08.62795"
1,"23-1",2,1,0.8080131128328,0.630334543049668,"2024-12-01 17:53:43.027612"
1,"23-1",2,2,0.278931652354539,0.578496903883863,"2024-12-01 17:53:58.300122"
1,"23-1",2,3,0.39350980303136,1.0098601155136,"2024-12-01 17:54:37.654771"
1,"23-1",3,1,0.804643167224658,0.602564379210844,"2024-12-01 17:57:26.570805"
1,"23-1",3,2,0.90237158986077,0.72475310010167,"2024-12-01 17:57:50.872647"
1,"23-1",3,3,0.543472382593669,0.87471198483132,"2024-12-01 17:58:19.353731"
1,"simultaneous",1,1,0.50640298090411,0.835833755456966,"2024-12-01 18:04:25.320315"
1,"simultaneous",1,2,0.649625669250136,0.524807920462137,"2024-12-01 18:04:30.540078"
1,"simultaneous",1,3,0.749039064690318,0.684023526471395,"2024-12-01 18:04:34.843295"
1,"simultaneous",2,1,0.799588248812445,0.484078346831862,"2024-12-01 18:05:55.483129"
1,"simultaneous",2,2,0.711969663000759,0.891374083134614,"2024-12-01 18:06:10.7367"
1,"simultaneous",2,3,0.504718008100039,0.719199067333905,"2024-12-01 18:06:30.546982"
2,"123",1,1,0.892261753036344,0.198971331419935,"2024-12-03 14:14:40.322102"
2,"123",1,2,0.743984146278106,0.200822675675856,"2024-12-03 14:15:15.97253"
2,"123",1,3,0.851822405738643,0.163795790557424,"2024-12-03 14:15:25.656139"
2,"123",2,1,0.587281675499512,0.597010346443079,"2024-12-03 14:16:34.887673"
2,"123",2,2,0.993360121280598,0.484078346831862,"2024-12-03 14:16:49.418929"
2,"123",2,3,0.683325125331554,0.308200642519309,"2024-12-03 14:16:57.924459"
2,"123",3,1,0.816437976853154,0.245254937817975,"2024-12-03 14:18:00.543196"
2,"123",3,2,0.929331154725904,0.395213822547625,"2024-12-03 14:18:13.05604"
2,"123",3,3,0.757463928710673,0.260065691865348,"2024-12-03 14:18:19.98678"
2,"1-23",1,1,0.861932242563068,0.315606019542996,"2024-12-03 14:20:34.093363"
2,"1-23",1,2,1.00346995810502,0.195268642908092,"2024-12-03 14:20:52.749878"
2,"1-23",1,3,0.878781970603777,0.696982936262846,"2024-12-03 14:20:59.619184"
2,"1-23",2,1,0.888891807428203,0.611821100490452,"2024-12-03 14:22:04.834343"
2,"1-23",2,2,1.02705957736202,0.198971331419935,"2024-12-03 14:22:21.078001"
2,"1-23",2,3,0.925961209117762,0.491483723855548,"2024-12-03 14:22:29.194295"
2,"1-23",3,1,0.929331154725904,0.506294477902921,"2024-12-03 14:23:29.609679"
2,"1-23",3,2,0.979880338848031,0.187863265884405,"2024-12-03 14:23:46.352173"
2,"1-23",3,3,0.870357106583423,0.530361953229902,"2024-12-03 14:23:56.418966"
2,"231",1,1,0.735559282257751,0.454456838737116,"2024-12-03 14:26:37.823129"
2,"231",1,2,0.870357106583423,0.371146347220644,"2024-12-03 14:26:54.687948"
2,"231",1,3,0.122229181575946,0.384105757012095,"2024-12-03 14:27:03.139371"
2,"231",2,1,0.540102436985527,0.350781560405506,"2024-12-03 14:28:07.31442"
2,"231",2,2,0.932701100334046,0.458159527248959,"2024-12-03 14:28:20.297038"
2,"231",2,3,0.371605156578438,0.439646084689743,"2024-12-03 14:28:27.27063"
2,"231",3,1,0.718709554217042,0.11195815139162,"2024-12-03 14:29:23.361547"
2,"231",3,2,1.00346995810502,0.0730799220172659,"2024-12-03 14:29:37.9251"
