"group_id","condition","trial","participant","shared","control","timestamp","tap_sec","subgroup_present","is_a_subgroup_member","iti","tap_cycle","new_iti","cv","subgr2oup_present"
"2","123",1,2,0.743984146278106,0.200822675675856,"2024-12-03 14:15:15.97253",8.562358,0,"0",0.571066,4,0.571066,0.122325443377662,"0"
"2","123",1,3,0.851822405738643,0.163795790557424,"2024-12-03 14:15:25.656139",9.090975,0,"0",0.528617000000001,5,0.528617000000001,0.122325443377662,"0"
"2","123",1,1,0.892261753036344,0.198971331419935,"2024-12-03 14:14:40.322102",9.798096,0,"0",0.707120999999999,5,0.707120999999999,0.122325443377662,"0"
"2","123",1,2,0.743984146278106,0.200822675675856,"2024-12-03 14:15:15.97253",10.315465,0,"0",0.517369,5,0.517369,0.122325443377662,"0"
"2","123",1,3,0.851822405738643,0.163795790557424,"2024-12-03 14:15:25.656139",10.776961,0,"0",0.461496,6,0.461496,0.122325443377662,"0"
"2","123",1,1,0.892261753036344,0.198971331419935,"2024-12-03 14:14:40.322102",11.368708,0,"0",0.591747,6,0.591747,0.122325443377662,"0"
"2","123",1,2,0.743984146278106,0.200822675675856,"2024-12-03 14:15:15.97253",11.900227,0,"0",0.531518999999999,6,0.531518999999999,0.122325443377662,"0"
"2","123",1,3,0.851822405738643,0.163795790557424,"2024-12-03 14:15:25.656139",12.345759,0,"0",0.445532,7,0.445532,0.122325443377662,"0"
"2","123",1,1,0.892261753036344,0.198971331419935,"2024-12-03 14:14:40.322102",12.870749,0,"0",0.524990000000001,7,0.524990000000001,0.122325443377662,"0"
"2","123",1,2,0.743984146278106,0.200822675675856,"2024-12-03 14:15:15.97253",13.397551,0,"0",0.526802,7,0.526802,0.122325443377662,"0"
"2","123",1,3,0.851822405738643,0.163795790557424,"2024-12-03 14:15:25.656139",14.058594,0,"0",0.661042999999999,8,0.661042999999999,0.122325443377662,"0"
"2","123",1,1,0.892261753036344,0.198971331419935,"2024-12-03 14:14:40.322102",14.611156,0,"0",0.552562,8,0.552562,0.122325443377662,"0"
"2","123",1,2,0.743984146278106,0.200822675675856,"2024-12-03 14:15:15.97253",15.211973,0,"0",0.600817000000001,8,0.600817000000001,0.122325443377662,"0"
