"tap_sec","group_member","condition","group_number","trial"
"12.147664",1,"simultaneous",1,0
"12.463310",2,"simultaneous",1,0
"12.958912",1,"simultaneous",1,0
"13.138503",2,"simultaneous",1,0
"13.149025",3,"simultaneous",1,0
"13.704127",1,"simultaneous",1,0
"13.988935",2,"simultaneous",1,0
"14.194649",3,"simultaneous",1,0
"14.663402",1,"simultaneous",1,0
"14.710204",2,"simultaneous",1,0
"15.123810",3,"simultaneous",1,0
"15.716644",1,"simultaneous",1,0
"15.901315",2,"simultaneous",1,0
"15.977143",3,"simultaneous",1,0
"16.595375",1,"simultaneous",1,0
"16.690794",2,"simultaneous",1,0
"16.771338",3,"simultaneous",1,0
"17.371429",1,"simultaneous",1,0
"17.383039",2,"simultaneous",1,0
"17.570612",3,"simultaneous",1,0
"18.142405",1,"simultaneous",1,0
"18.146395",2,"simultaneous",1,0
"18.333605",3,"simultaneous",1,0
"18.920273",1,"simultaneous",1,0
"18.938776",2,"simultaneous",1,0
"19.132154",3,"simultaneous",1,0
"19.736961",2,"simultaneous",1,0
"19.775782",1,"simultaneous",1,0
"19.920908",3,"simultaneous",1,0
"20.499229",2,"simultaneous",1,0
"20.583038",1,"simultaneous",1,0
"20.614603",3,"simultaneous",1,0
"21.219772",2,"simultaneous",1,0
"21.320272",1,"simultaneous",1,0
"21.383764",3,"simultaneous",1,0
"2.747936",2,"simultaneous",1,2
"2.802358",3,"simultaneous",1,2
"2.850612",1,"simultaneous",1,2
"3.459048",2,"simultaneous",1,2
"3.649161",1,"simultaneous",1,2
"3.695601",3,"simultaneous",1,2
"4.282993",1,"simultaneous",1,2
"4.398367",2,"simultaneous",1,2
"4.482540",3,"simultaneous",1,2
"4.981406",1,"simultaneous",1,2
"5.106576",2,"simultaneous",1,2
"5.162086",3,"simultaneous",1,2
"5.658050",1,"simultaneous",1,2
"5.760363",2,"simultaneous",1,2
"5.846349",3,"simultaneous",1,2
"6.393469",1,"simultaneous",1,2
"6.467846",2,"simultaneous",1,2
"6.528435",3,"simultaneous",1,2
"7.049796",1,"simultaneous",1,2
"7.142676",2,"simultaneous",1,2
"7.275465",3,"simultaneous",1,2
"7.756190",1,"simultaneous",1,2
"7.850884",2,"simultaneous",1,2
"7.901678",3,"simultaneous",1,2
"8.456780",1,"simultaneous",1,2
"8.535873",2,"simultaneous",1,2
"8.601542",3,"simultaneous",1,2
"9.138503",1,"simultaneous",1,2
"9.246259",2,"simultaneous",1,2
"9.296689",3,"simultaneous",1,2
"9.825306",1,"simultaneous",1,2
